Neighbourhood,Neighbourhood ID,Latitude,Longitude
Forest Hill South,101,43.694525756400004,-79.4143178642
Glenfield-Jane Heights,25,43.745635749799995,-79.5134653159
Greenwood-Coxwell,65,43.6726123109,-79.3243180234
Guildwood,140,43.7488293378,-79.1950553496
Henry Farm,53,43.7711441425,-79.3412406671
High Park North,88,43.6575649139,-79.4663021661
High Park-Swansea,87,43.6450645834,-79.46787222430001
Highland Creek,134,43.7907747688,-79.17747247289999
Hillcrest Village,48,43.8029878281,-79.3548039999
Humber Heights-Westmount,8,43.6922328007,-79.5224162029
Humber Summit,21,43.7589197465,-79.55617473630001
Humbermede,22,43.7434295175,-79.5423671192
Humewood-Cedarvale,106,43.6913698124,-79.4276833521
Ionview,125,43.735364407700004,-79.27247049420001
Islington-City Centre West,14,43.6334633497,-79.5433165354
Junction Area,90,43.6678897668,-79.47143987359999
Keelesdale-Eglinton West,110,43.6857274725,-79.4714371062
Kennedy Park,124,43.725555723199996,-79.2603822071
Kensington-Chinatown,78,43.653554131599996,-79.3972398768
Kingsview Village-The Westway,6,43.698992572200005,-79.5478633059
Kingsway South,15,43.6535204276,-79.5105768007
L'Amoreaux,117,43.7957160278,-79.3140842409
